"","title","gross.title"
"203","Bang Gang (A Modern Love Story)",136891
"204","Bangalore Naatkal",7279
"205","Bar Bahr (In Between)",176530
"206","Barbershop: The Next Cut",376909
"207","Barbie: Spy Squad",321509
"208","Barbie: Star Light Adventure",656851
"209","Barneraneren",27930
"210","Barry Lyndon (2016 re-release)",162407
"211","Barter",4279
"212","Baskavígin",7558
"213","Baskin",261860
"214","Bastille Day",5710340
"215","Batman v Superman: Dawn of Justice",145502672
"216","Battle Mountain: Graeme Obree's Story",49853
"217","Battleship Potemkin (2016 re-issue)",3769
"218","Bayram Abi",125553
"219","Beauty and the Bestie",29247
"220","Becoming Zlatan (Den unge Zlatan)",41340
"221","Befikre",340202
"222","Before I Wake",1272820
"223","Before the Flood",988
"224","Before We Go",73971
"225","Belgica",599614
"226","Bella e perduta (Lost and Beautiful)",15550
"227","Belle et Sébastien, l'aventure continue",244593
"228","Belles familles",108305
"229","Belmondo par Belmondo",13148
"230","Beloved Sisters",4465
"231","Ben-Hur",17118411
"232","Benidorm mon amour",15568
"233","Benim Adim Feridun",646617
"234","Berzah: Cin Alemi",88878
"235","bestefreunde",1020
"236","Beyond Sleep",156655
"237","Bezva zenská na krku",2141546
"238","Biagio",485
"239","Bianco di Babbudoiu",72076
"240","Bibi & Tina: Mädchen gegen Jungs",13555914
"241","Bienvenue à Marly-Gomont (The African Doctor)",4131033
"242","Billion Star Hotel",6095
"243","Bir Baba Hindu",2483680
"244","Bir Sey Degilim",513
"245","Birkebeinerne (The Last King)",3592753
"246","Bitva za Sevastopol",49828
"247","Bizans Oyunlari - Geym of Bizans",2346620
"248","Black",79995
"249","Black Mountain Poets",23722
"250","Blackway",226650
"251","Blair Witch",9606658
"252","Blanka",2042
"253","Bleed for This",780242
"254","Bling",215448
"255","Blinky Bill the Movie",404181
"256","Blood Father",2559023
"257","Blue Velvet (2016 re-release)",64780
"258","Bobby",12931
"259","Bobby Sands: 66 Days",219765
"260","Bodom",699531
"261","Bogowie",7336
"262","Boi Neon (Neon Bull)",68534
"263","Bol Sans",43214
"264","Bølgen (The Wave)",366102
"265","Bolshoi Babylon",104845
"266","Bondoc",642
"267","Bone Tomahawk",201913
"268","Boonie Bears, to the Rescue!",357712
"269","Boonie Bears: Mystical Winter",257924
"270","Born in Heinola",1128746
"271","Born to be Blue",53504
"272","Born to Be King",3639
"273","Born to Dance",717
"274","Børning 2",5416898
"275","Boulevard",74217
"276","Bound to Vengeance",28338
"277","Bounty Hunters",3391
"278","Boyz n the Hood (2016 re-release)",25001
"279","Brahmotsavam",541
"280","Braqueurs",3209676
"281","Brasserie Valentijn",776636
"282","Bratrícek Karel",6629
"283","Breakdown",713
"284","Breaking the Bank",4947
"285","Brice 3",14031413
"286","Bridget Jones's Baby",124851899
"287","Broer (Brother) [2016]",508647
"288","Brooklyn",5010103
"289","Brooks, Meadows and Lovely Faces",42913
"290","Brotherhood",4613846
"291","Brothers",1160
"292","Brothers of the Wind",3014904
"293","Brown Willy",3565
"294","Bruja, más que bruja (2016 re-release)",9681
"295","Burg Schreckenstein",780412
"296","Burn Burn Burn",19991
"297","By the Sea",46272
"298","C'est quoi cette famille?! (We are Family)",5813070
"299","Cabin Fever",9586
"300","Cafe Society",20650255
"301","Çagrilan",116692
"302","Caini (Dogs)",81263
"303","Çakallarla Dans 4",4079979
"304","Califórnia",370
"305","Call of Heroes",6945
"306","Campamento del terror (Summer Camp)",49752
"307","Camping 3",24224579
"308","Canim kardesim benim",245293
"309","Cantinflas",31830
"310","Caprice",4081
"311","Captain America: Civil War",148974158
"312","Captain Fantastic",7229731
"313","Capture Kill Release",72
"314","Capture the Flag (Atrapa la bandera)",3493097
"315","Carmina y amén",115415
"316","Carol",7783770
"317","Cartas da Guerra (Letters from War)",116012
"318","Castle in the Sky (2016 re-release)",10488
"319","Cave",340858
"320","Ceberrut",38444
"321","Cell",493221
"322","Celui qu'on attendait (Lost in Armenia)",55736
"323","Cemetery of Splendor",19170
"324","Central Intelligence",37936032
"325","Cerca de tu casa",73021
"326","Certain Women",5110
"327","Cézanne et moi (Cezanne and I)",3330846
"328","Chaar Sahibzaade 2",343403
"329","Channo Kamli Yaar Di",31217
"330","Charlie",46083
"331","Che vuoi che sia",1728588
"332","Chennai 600028 II: Second Innings",22549
"333","Chevalier",25833
"334","Chi-Raq",66667
"335","Chic!",1446
"336","ChickLit",19180
"337","Child Eater",4422
"338","Chloe & Theo",490
"339","Chocolat",13257582
"340","Chouf",1865664
"341","Chronic",44847
"342","Chungul",8650
"343","Chuva de Julho (July Rain) [2016 re-release]",1461
